time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/value_loss,train/clip_range,train/entropy_loss,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/loss,train/approx_kl
2174,942080,46,433,0.036973365084268156,0.2,-2.5964941650629045,0.4138200879096985,450,-0.006677049705176614,0.0624609375,0.0001,-0.021152181550860405,0.018258136
2184,962560,47,440,0.04399043306242675,0.2,-2.555239655971527,0.49623996019363403,460,-0.005789338084869086,0.055302734375,0.0001,-0.013242479413747787,0.018554207
2194,983040,48,447,0.04745251520071179,0.2,-2.6082856434583666,0.42254316806793213,470,-0.005566068721236661,0.0557958984375,0.0001,-0.025502365082502365,0.01846742
2204,1003520,49,455,0.03802347119897604,0.2,-2.597373885512352,0.44825321435928345,480,-0.005271807080716826,0.0604052734375,0.0001,-0.02240930125117302,0.020445207
2213,1024000,50,462,0.043873762506991626,0.2,-2.593941333889961,0.46285849809646606,490,-0.00709524720616173,0.0674462890625,0.0001,-0.016503820195794106,0.020362845
2221,1044480,51,470,0.04050647965166718,0.2,-2.614641956090927,0.37906479835510254,500,-0.006672408955637366,0.0639013671875,0.0001,-0.022578727453947067,0.023079159
2230,1064960,52,477,0.04889548932667822,0.2,-2.6179534244537352,0.5101589858531952,510,-0.006309462152712513,0.056513671875,0.0001,-0.02311519905924797,0.015433131
2237,1085440,53,485,0.04052501680329442,0.2,-2.6372466033697126,0.40102511644363403,520,-0.0067198132927296685,0.0613818359375,0.0001,-0.02084330841898918,0.017455336
2246,1105920,54,492,0.0336104810424149,0.2,-2.636228542327881,0.3901646137237549,530,-0.005282484358467628,0.061064453125,0.0001,-0.02003195881843567,0.019142022
2254,1126400,55,499,0.037331441547721625,0.2,-2.624736050963402,0.47932571172714233,540,-0.0064870009169681,0.0626708984375,0.0001,-0.026895292103290558,0.020421093
2260,1146880,56,507,0.036539691882207986,0.2,-2.6296689212322235,0.4311928153038025,550,-0.005933654078398831,0.0622314453125,0.0001,-0.02999654784798622,0.01849062
2268,1167360,57,514,0.034491066015325485,0.2,-2.6554656916856767,0.5282372534275055,560,-0.005837874296412337,0.057958984375,0.0001,-0.029609346762299538,0.017836945
2275,1187840,58,521,0.03703164346981794,0.2,-2.6567625498771665,0.367109477519989,570,-0.005391547868784982,0.0586279296875,0.0001,-0.018407555297017097,0.01768699
2282,1208320,59,529,0.05157296176999807,0.2,-2.6489968848228456,0.4397276043891907,580,-0.007314075064205099,0.0589306640625,0.0001,-0.015081474557518959,0.018779108
2289,1228800,60,536,0.04366004711482674,0.2,-2.641795149445534,0.45099443197250366,590,-0.0072915945056593046,0.06310546875,0.0001,-0.018421480432152748,0.018583188
2295,1249280,61,544,0.05066069454886019,0.2,-2.6666726410388946,0.4861547350883484,600,-0.005736347876954824,0.063779296875,0.0001,-0.014728043228387833,0.020734042
2302,1269760,62,551,0.037904648473486305,0.2,-2.659139481186867,0.43230122327804565,610,-0.005514396354265046,0.0563623046875,0.0001,-0.019089778885245323,0.017783651
2308,1290240,63,558,0.04664884802885354,0.2,-2.667925318479538,0.434436559677124,620,-0.004771500022616238,0.0625244140625,0.0001,-0.013608384877443314,0.0242879
2315,1310720,64,566,0.04299581327941269,0.2,-2.669286971092224,0.441963791847229,630,-0.0068762319663073865,0.0604296875,0.0001,-0.026220543310046196,0.017347591
2321,1331200,65,573,0.03827862035483122,0.2,-2.6457682073116304,0.382563054561615,640,-0.006930883617023938,0.063544921875,0.0001,-0.022508621215820312,0.018738383
2327,1351680,66,580,0.03365165583323687,0.2,-2.63305992603302,0.42675894498825073,650,-0.0055878934792417565,0.0557666015625,0.0001,-0.025144917890429497,0.01945574
2332,1372160,67,588,0.03601832433138043,0.2,-2.6324256294965744,0.426483154296875,660,-0.005830195444286801,0.0659130859375,0.0001,-0.021377474069595337,0.021329924
2338,1392640,68,595,0.04118255691137165,0.2,-2.6164636272192,0.44335269927978516,670,-0.007444395288475789,0.0595166015625,0.0001,-0.01840161718428135,0.016404914
2344,1413120,69,602,0.03510270734783262,0.2,-2.6231640046834945,0.42941826581954956,680,-0.004989326476061251,0.0548291015625,0.0001,-0.024035224691033363,0.020167489
2349,1433600,70,610,0.037795308027416465,0.2,-2.6354581087827684,0.4045393466949463,690,-0.005054022010008339,0.061826171875,0.0001,0.04480794817209244,0.020022687
2354,1454080,71,617,0.04421703916043043,0.2,-2.635738649368286,0.3764493465423584,700,-0.005019697394163814,0.060048828125,0.0001,-0.011088309809565544,0.020817574
2359,1474560,72,624,0.03606018819846213,0.2,-2.6178678596019744,0.3938214182853699,710,-0.006706439481931738,0.0640966796875,0.0001,-0.020299695432186127,0.02084117
2364,1495040,73,632,0.03647308790124953,0.2,-2.6018010276556014,0.41169649362564087,720,-0.005251072391110938,0.0653759765625,0.0001,-0.02218666486442089,0.01821604
2369,1515520,74,639,0.03625699722673744,0.2,-2.626015473008156,0.38636213541030884,730,-0.007157251766766421,0.06716796875,0.0001,-0.019395899027585983,0.02111238
