time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/policy_gradient_loss,train/explained_variance,train/loss,train/learning_rate,train/value_loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/approx_kl,train/clip_range
1973,163,6676480,3383,-0.012013151079700038,0.3976268172264099,-0.036953382194042206,0.0001,0.03512447153800167,0.0818408203125,1620,-3.380778896808624,0.009093019,0.2
1985,164,6717440,3383,-0.011605445029854309,0.36378467082977295,-0.0327552929520607,0.0001,0.0477757053100504,0.07837890625,1630,-3.382347418367863,0.009007662,0.2
1996,165,6758400,3384,-0.011459676375743584,0.40118902921676636,-0.03615717589855194,0.0001,0.03395089114666917,0.07455078125,1640,-3.3680551239848135,0.008732079,0.2
2008,166,6799360,3385,-0.010202522897161543,0.3214700222015381,-0.017743073403835297,0.0001,0.049155459112953395,0.07517333984375,1650,-3.3711856877803803,0.008634336,0.2
2020,167,6840320,3385,-0.010485140068194596,0.29030483961105347,-0.03929568827152252,0.0001,0.04585326816421002,0.07818359375,1660,-3.363113733232021,0.008650846,0.2
2032,168,6881280,3385,-0.010520978065324016,0.336375892162323,-0.029086899012327194,0.0001,0.040416159639135,0.07343505859375,1670,-3.351154923439026,0.0088020405,0.2
2044,169,6922240,3385,-0.01029709638809436,0.388444185256958,-0.02341926284134388,0.0001,0.043847020890098065,0.06981201171875,1680,-3.3590582451224327,0.008629971,0.2
2056,170,6963200,3385,-0.010805404255370377,0.33103692531585693,-0.027536684647202492,0.0001,0.04425723773194477,0.069345703125,1690,-3.348000075519085,0.00839842,0.2
2068,171,7004160,3385,-0.010909849623567424,0.322245717048645,-0.03244338184595108,0.0001,0.05561100474558771,0.07738525390625,1700,-3.3512199652194976,0.008720981,0.2
2080,172,7045120,3386,-0.010139546792051988,0.4054189920425415,-0.020685553550720215,0.0001,0.03864649035967886,0.071220703125,1710,-3.345462048947811,0.008461731,0.2
2092,173,7086080,3386,-0.01063614305036026,0.3561810851097107,-0.03378726541996002,0.0001,0.05266987528884783,0.07503662109375,1720,-3.3428722217679026,0.008835446,0.2
2104,174,7127040,3387,-0.011085061785270228,0.362129807472229,-0.0401887372136116,0.0001,0.04473467265255749,0.0767626953125,1730,-3.337962999343872,0.008878236,0.2
2115,175,7168000,3387,-0.0100065346917836,0.451252281665802,-0.02398170530796051,0.0001,0.059398712646216156,0.067529296875,1740,-3.334909763634205,0.008074406,0.2
